AG PO#,SINOBEC PO#,Invoice #,SHIPPING REF,CONTAINER#,STATUS/ETA Port
8070005163,U17221,,,,
8070005154,U17223,,,,
8070005166,U17224,,,,
8070005167,U17225,,,,
8070005168,U17226,,,,
8070005169,U17227,,,,
8070005170,U17228,,,,
8070005171,U17229,,,,
8070005172,U17230,,,,
8070005173,U17231,,,,
8070005177,U17235,,,,
8070005178,U17236,,,,
8070005179,U17237,,,,
8070005180,U17238,,,,
